rep_id,congress,election_year,region,province,district,seat_type,party,leadership,source_url
marcos-sandro,19th Congress,2022,Region I,Ilocos Norte,1st District,District,,,
marcos-sandro,20th Congress,2025,Region I,Ilocos Norte,1st District,District,,,
romualdez-martin,18th Congress,2019,Region VIII,Leyte,1st District,District,,Speaker,
romualdez-martin,19th Congress,2022,Region VIII,Leyte,1st District,District,,Speaker,
romualdez-martin,20th Congress,2025,Region VIII,Leyte,1st District,District,,Speaker,
robredo-leni,16th Congress,2013,Region V,Camarines Sur,3rd District,District,,,
diokno-chel,20th Congress,2025,Party-list,Akbayan,Party-list,Partylist,Akbayan,,
