congress,partylist_id,partylist_name,representative_name,seat_no,term_start,term_end,role,notes
20th Congress,akbayan,Akbayan,"Jose Manuel Tadeo \"Chel\" I. Diokno",1,2025,2028,Representative,Sample only.
20th Congress,akbayan,Akbayan,"Percival \"Perci\" Cendaña",2,2025,2028,Representative,Sample only.
20th Congress,akbayan,Akbayan,Dadah Kiram Ismula,3,2025,2028,Representative,Sample only.
20th Congress,tingog,Tingog Party List,Andrew Julian K. Romualdez,1,2025,2028,Representative,Sample only.
20th Congress,tingog,Tingog Party List,Jude A. Acidre,2,2025,2028,Representative,Sample only.
20th Congress,tingog,Tingog Party List,Yedda Marie K. Romualdez,3,2025,2028,Representative,Sample only.
20th Congress,apec,APEC Partylist,Sergio C. Dagooc,1,2025,2028,Representative,Sample only.
16th Congress,an-waray,An Waray,Neil Montejo,1,2013,2016,Representative,Sample only.
16th Congress,an-waray,An Waray,Victoria Isabel Noel,2,2013,2016,Representative,Sample only.
